rank,token,total_count,document_frequency,percent_of_documents
223,structuredcodeblock,72,48,3.11
224,high,71,61,3.95
225,might,71,60,3.88
226,aggregate,71,38,2.46
227,detail,70,64,4.14
228,back,70,55,3.56
229,expose,69,55,3.56
230,collector,69,33,2.14
231,filter,69,36,2.33
232,proxy,69,33,2.14
233,remove,68,50,3.24
234,active,68,38,2.46
235,find,67,53,3.43
236,control,67,51,3.3
237,utilization,66,40,2.59
238,mode,66,39,2.52
239,info,66,42,2.72
240,nodemanager,65,38,2.46
241,help,65,52,3.37
242,protocol,65,49,3.17
243,finish,65,37,2.39
244,within,64,54,3.5
245,ability,64,51,3.3
246,across,64,51,3.3
247,complete,63,46,2.98
248,requirement,63,51,3.3
249,size,63,44,2.85
250,distribute,62,45,2.91
251,side,62,44,2.85
252,property,62,33,2.14
253,point,62,53,3.43
254,easy,62,59,3.82
255,proposal,62,53,3.43
256,place,62,53,3.43
257,failure,62,37,2.39
258,behavior,62,43,2.78
259,know,62,51,3.3
260,think,61,51,3.3
261,go,61,57,3.69
262,hbase,61,35,2.27
263,attribute,61,28,1.81
264,increase,60,38,2.46
265,useful,60,52,3.37
266,patch,60,44,2.85
267,approach,60,47,3.04
268,come,60,51,3.3
269,security,60,34,2.2
270,version,59,38,2.46
271,keep,59,51,3.3
272,response,59,39,2.52
273,look,59,47,3.04
274,assign,59,39,2.52
275,decommission,58,16,1.04
276,wait,58,44,2.85
277,ie,58,47,3.04
278,stop,58,35,2.27
279,table,58,28,1.81
280,fix,57,44,2.85
281,result,57,43,2.78
282,githublink,57,18,1.17
283,network,57,35,2.27
284,cli,56,35,2.27
285,endpoint,56,29,1.88
286,another,56,49,3.17
287,weblink,55,43,2.78
288,device,55,21,1.36
289,parameter,55,34,2.2
290,group,55,29,1.88
291,environment,54,41,2.65
292,mean,54,43,2.78
293,object,54,38,2.46
294,delay,54,27,1.75
295,simple,53,42,2.72
296,discussion,53,49,3.17
297,either,53,50,3.24
298,pluggable,53,37,2.39
299,reduce,53,47,3.04
300,certain,52,41,2.65
301,generic,52,37,2.39
302,additional,52,42,2.72
303,cost,52,23,1.49
304,avoid,52,47,3.04
305,scheduling,52,37,2.39
306,script,52,27,1.75
307,execute,52,35,2.27
308,master,52,35,2.27
309,metric,51,32,2.07
310,connection,51,26,1.68
311,relate,51,46,2.98
312,userprofilelink,51,24,1.55
313,old,51,35,2.27
314,much,51,43,2.78
315,cgroups,51,28,1.81
316,controller,51,12,0.78
317,lot,50,43,2.78
318,hard,50,32,2.07
319,context,49,36,2.33
320,step,49,37,2.39
321,port,49,27,1.75
322,small,49,38,2.46
323,put,48,34,2.2
324,field,48,28,1.81
325,rule,48,18,1.17
326,blacklist,48,15,0.97
327,layer,48,36,2.33
328,guarantee,47,29,1.88
329,build,47,39,2.52
330,sort,46,22,1.42
331,creation,46,33,2.14
332,rpc,46,34,2.2
333,leaf,46,27,1.75
334,format,46,24,1.55
335,locality,46,30,1.94
336,report,45,29,1.88
337,serve,45,35,2.27
338,several,45,37,2.39
339,capability,45,35,2.27
340,recover,45,33,2.14
341,isolation,45,27,1.75
342,addition,45,38,2.46
343,monitor,44,30,1.94
344,page,44,23,1.49
345,doc,44,41,2.65
346,submission,44,30,1.94
347,amount,44,32,2.07
348,end,44,37,2.39
349,execution,44,36,2.33
350,tag,44,21,1.36
351,present,44,39,2.52
352,rack,44,20,1.29
353,java,43,25,1.62
354,improvement,43,33,2.14
355,prevent,43,37,2.39
356,project,43,19,1.23
357,become,43,39,2.52
358,recovery,43,29,1.88
359,register,43,26,1.68
360,directly,43,38,2.46
361,perform,43,32,2.07
362,domain,43,17,1.1
363,receive,42,27,1.75
364,modify,42,40,2.59
365,happen,42,40,2.59
366,machine,42,34,2.2
367,related,42,35,2.27
368,lose,42,26,1.68
369,pending,42,21,1.36
370,v2,42,28,1.81
371,acls,42,23,1.49
372,status,41,28,1.81
373,due,41,36,2.33
374,mapping,41,25,1.62
375,dynamically,41,33,2.14
376,retry,41,21,1.36
377,lock,41,22,1.42
378,module,41,25,1.62
379,never,41,33,2.14
380,block,40,29,1.88
381,effort,40,38,2.46
382,plugin,40,22,1.42
383,mapreduce,40,29,1.88
384,pool,40,17,1.1
385,failover,40,23,1.49
386,basic,39,34,2.2
387,percentage,39,14,0.91
388,history,39,23,1.49
389,error,39,28,1.81
390,model,39,28,1.81
391,reader,39,26,1.68
392,reserve,39,26,1.68
393,lead,38,27,1.75
394,solve,38,34,2.2
395,please,38,37,2.39
396,thing,38,37,2.39
397,mr,38,21,1.36
398,must,38,30,1.94
399,next,38,30,1.94
400,container-executor,38,16,1.04
401,registry,38,16,1.04
402,identify,38,26,1.68
403,secure,38,27,1.75
404,future,37,34,2.2
405,ticket,37,33,2.14
406,document,37,24,1.55
407,ask,37,29,1.88
408,something,37,31,2.01
409,roll,37,22,1.42
410,second,37,29,1.88
411,record,37,17,1.1
412,writer,37,20,1.29
413,decision,37,33,2.14
414,depend,36,34,2.2
415,runtime,36,23,1.49
416,view,36,27,1.75
417,tool,36,26,1.68
418,necessary,36,33,2.14
419,message,36,23,1.49
420,important,36,30,1.94
421,right,36,30,1.94
422,privilege,36,17,1.1
423,admin,36,27,1.75
424,algorithm,36,14,0.91
425,always,36,31,2.01
426,expect,36,30,1.94
427,proposes,35,33,2.14
428,dynamic,35,24,1.55
429,show,35,28,1.81
430,say,35,28,1.81
431,ensure,35,33,2.14
432,global,35,22,1.42
433,reason,35,33,2.14
434,async,34,22,1.42
435,auto,34,23,1.49
436,child,34,18,1.17
437,note,34,30,1.94
438,lifecycle,34,25,1.62
439,spark,34,22,1.42
440,deploy,34,18,1.17
441,setup,34,27,1.75
442,plan,34,30,1.94
443,sub-cluster,34,13,0.84
444,whether,33,27,1.75
445,root,33,22,1.42
446,function,33,26,1.68
447,attach,33,32,2.07
448,zk,33,16,1.04
449,inside,33,26,1.68
450,continue,33,29,1.88
451,rms,33,31,2.01
452,purpose,33,29,1.88
453,structure,32,24,1.55
454,ha,32,24,1.55
455,workload,32,21,1.36
456,native,32,25,1.62
457,auxiliary,32,11,0.71
458,rather,32,29,1.88
459,delete,32,27,1.75
460,choose,31,26,1.68
461,nms,31,24,1.55
462,trigger,31,25,1.62
463,interval,31,22,1.42
464,communication,31,22,1.42
465,enough,31,28,1.81
466,scale,31,19,1.23
467,activity,31,12,0.78
468,delegation,31,16,1.04
469,particular,31,28,1.81
470,ca,31,23,1.49
471,localization,31,18,1.17
472,atsv2,31,23,1.49
473,accept,30,23,1.49
474,turn,30,25,1.62
475,later,30,29,1.88
476,explicitly,30,23,1.49
477,health,30,10,0.65
478,http,30,16,1.04
479,generate,30,23,1.49
480,maintain,30,27,1.75
481,unit,30,20,1.29
482,shutdown,30,17,1.1
483,release,30,27,1.75
484,low,30,26,1.68
485,full,30,24,1.55
486,enhance,30,28,1.81
487,location,29,18,1.17
488,absolute,29,15,0.97
489,daemon,29,23,1.49
490,phase,29,23,1.49
491,automatically,29,24,1.55
492,disable,29,21,1.36
493,balance,29,17,1.1
494,appropriate,29,27,1.75
495,less,29,28,1.81
496,nice,29,29,1.88
497,slow,29,25,1.62
498,achieve,29,28,1.81
499,clean,29,24,1.55
500,minimum,29,15,0.97
501,determine,28,25,1.62
502,maximum,28,21,1.36
503,general,28,26,1.68
504,refactor,28,25,1.62
505,along,28,28,1.81
506,validation,28,16,1.04
507,static,28,14,0.91
508,overall,28,26,1.68
509,exit,28,21,1.36
510,threshold,28,15,0.97
511,integrate,28,25,1.62
512,exception,28,19,1.23
513,demand,28,21,1.36
514,various,28,23,1.49
515,contain,28,26,1.68
516,library,28,21,1.36
517,entire,28,24,1.55
518,source,27,22,1.42
519,upon,27,25,1.62
520,mark,27,17,1.1
521,configs,27,18,1.17
522,calculation,27,15,0.97
523,hierarchy,27,18,1.17
524,partition,27,8,0.52
525,flexible,27,23,1.49
526,sense,27,26,1.68
527,initial,27,21,1.36
528,big,27,21,1.36
529,remote,27,14,0.91
530,count,27,16,1.04
531,discuss,27,26,1.68
532,seem,27,24,1.55
533,home,27,9,0.58
534,provider,26,14,0.91
535,potentially,26,23,1.49
536,internal,26,22,1.42
537,fetch,26,20,1.29
538,likely,26,24,1.55
539,idea,26,24,1.55
540,shuffle,26,14,0.91
541,especially,26,25,1.62
542,processing,26,17,1.1
543,display,26,18,1.17
544,timeout,26,15,0.97
545,leverage,26,23,1.49
546,sls,26,15,0.97
547,localize,26,19,1.23
548,enforce,26,22,1.42
549,external,26,17,1.1
550,copy,26,21,1.36
551,executor,26,15,0.97
552,compute,26,19,1.23
553,zero,25,14,0.91
554,publish,25,17,1.1
555,parse,25,18,1.17
556,unnecessary,25,23,1.49
557,concept,25,21,1.36
558,describe,25,21,1.36
559,override,25,12,0.78
560,acl,25,13,0.84
561,difficult,25,22,1.42
562,around,25,24,1.55
563,duplicate,25,22,1.42
564,individual,25,23,1.49
565,preserve,25,21,1.36
566,platform,25,13,0.84
567,dir,25,6,0.39
568,catalog,25,8,0.52
569,space,25,19,1.23
570,shell,25,16,1.04
571,ip,25,13,0.84
572,definition,25,14,0.91
573,session,25,8,0.52
574,decide,25,22,1.42
575,account,25,19,1.23
576,lifetime,25,10,0.65
577,dispatcher,24,12,0.78
578,limitation,24,21,1.36
579,simplify,24,17,1.1
580,associate,24,20,1.29
581,real,24,18,1.17
582,cleanup,24,14,0.91
583,input,24,17,1.1
584,replace,24,20,1.29
585,validate,24,15,0.97
586,miss,24,20,1.29
587,least,24,21,1.36
588,enhancement,24,19,1.23
589,bad,24,21,1.36
590,situation,24,20,1.29
591,satisfy,24,19,1.23
592,refer,24,23,1.49
593,linux,24,18,1.17
594,dns,24,11,0.71
595,impact,24,20,1.29
596,sub-clusters,24,16,1.04
597,jar,24,15,0.97
598,primary,24,14,0.91
599,fs,23,17,1.1
600,noformatblock,23,10,0.65
601,tez,23,17,1.1
602,correspond,23,20,1.29
603,wo,23,22,1.42
604,yarn-filepath,23,17,1.1
605,simulator,23,10,0.65
606,thus,23,21,1.36
607,merge,23,18,1.17
608,match,23,15,0.97
609,otherwise,23,20,1.29
610,reuse,23,17,1.1
611,bring,23,20,1.29
612,configurable,22,17,1.1
613,aware,22,17,1.1
614,production,22,21,1.36
615,trace,22,13,0.84
616,authentication,22,15,0.97
617,profile,22,10,0.65
618,gpus,22,4,0.26
619,entry,22,18,1.17
620,hang,22,14,0.91
621,administrator,22,18,1.17
622,sure,22,22,1.42
623,affect,22,20,1.29
624,unhealthy,22,9,0.58
625,pass,22,22,1.42
626,completion,22,17,1.1
627,actually,22,21,1.36
628,independent,22,19,1.23
629,therefore,22,21,1.36
630,resolve,22,14,0.91
631,app1,22,9,0.58
632,yarn-2928,22,21,1.36
633,apply,21,15,0.97
634,period,21,15,0.97
635,original,21,16,1.04
636,weight,21,18,1.17
637,overhead,21,18,1.17
638,transition,21,13,0.84
639,worker,21,8,0.52
640,action,21,14,0.91
641,collect,21,15,0.97
642,invoke,21,15,0.97
643,previous,21,20,1.29
644,abstraction,21,14,0.91
645,potential,21,19,1.23
646,whole,21,19,1.23
647,throughput,21,16,1.04
648,consume,21,19,1.23
649,discovery,21,12,0.78
650,fpga,21,6,0.39
651,open,21,20,1.29
652,target,21,19,1.23
653,flush,21,10,0.65
654,benefit,21,20,1.29
655,outside,21,19,1.23
656,assume,21,18,1.17
657,retrieve,21,15,0.97
658,slider,21,15,0.97
659,work-preserving,21,17,1.1
660,easily,20,19,1.23
661,goal,20,18,1.17
662,true,20,16,1.04
663,meet,20,18,1.17
664,ui2,20,10,0.65
665,url,20,12,0.78
666,debug,20,13,0.84
667,custom,20,16,1.04
668,topology,20,7,0.45
669,post,20,18,1.17
670,headroom,20,8,0.52
671,ideally,20,20,1.29
672,term,20,18,1.17
673,dirs,20,8,0.52
674,cycle,20,18,1.17
675,chain,20,14,0.91
676,upload,20,15,0.97
677,accord,20,19,1.23
678,break,20,19,1.23
679,talk,20,17,1.1
680,resync,20,7,0.45
681,prefix,20,9,0.58
682,actual,19,18,1.17
683,remain,19,15,0.97
684,pick,19,17,1.1
685,variable,19,11,0.71
686,alternative,19,18,1.17
687,progress,19,17,1.1
688,reach,19,17,1.1
689,arbitrary,19,16,1.04
690,last,19,14,0.91
691,introduces,19,19,1.23
692,filesystem,19,13,0.84
693,reject,19,15,0.97
694,quite,19,17,1.1
695,normal,19,18,1.17
696,properly,19,19,1.23
697,unique,19,12,0.78
698,workflow,19,9,0.58
699,index,19,9,0.58
700,deployment,19,15,0.97
701,comment,19,16,1.04
702,database,19,9,0.58
703,connect,19,16,1.04
704,package,19,14,0.91
705,window,19,12,0.78
706,persist,19,16,1.04
707,free,19,18,1.17
708,hold,18,16,1.04
709,candidate,18,11,0.71
710,complex,18,17,1.1
711,setting,18,13,0.84
712,handler,18,10,0.65
713,json,18,13,0.84
714,mb,18,9,0.58
715,servlet,18,10,0.65
716,save,18,18,1.17
717,select,18,11,0.71
718,relevant,18,18,1.17
719,skip,18,17,1.1
720,min,18,12,0.78
721,obtain,18,14,0.91
722,switch,18,13,0.84
723,dedicate,18,14,0.91
724,abstract,18,13,0.84
725,late,18,12,0.78
726,consistent,18,13,0.84
727,renew,18,10,0.65
728,link,18,10,0.65
729,total,18,15,0.97
730,cgroup,18,12,0.78
731,understand,18,15,0.97
732,though,18,17,1.1
733,isolate,18,17,1.1
734,latency,18,15,0.97
735,mawo,18,6,0.39
736,app2,18,9,0.58
737,bind,18,12,0.78
738,top,18,14,0.91
739,ideal,18,15,0.97
740,listener,18,5,0.32
741,interceptor,18,12,0.78
742,scalable,18,13,0.84
743,ok,18,3,0.19
744,critical,17,16,1.04
745,simply,17,17,1.1
746,developer,17,13,0.84
747,non-exclusive,17,6,0.39
748,occur,17,14,0.91
749,expression,17,9,0.58
750,multi,17,11,0.71
751,three,17,16,1.04
752,relative,17,7,0.45
753,cover,17,17,1.1
754,asynchronous,17,15,0.97
755,valid,17,15,0.97
756,sometimes,17,14,0.91
757,short,17,16,1.04
758,final,17,12,0.78
759,main,17,15,0.97
760,hook,17,11,0.71
761,others,17,16,1.04
762,inform,17,16,1.04
763,invocation,17,14,0.91
764,classpath,17,6,0.39
765,permission,16,15,0.97
766,logs,16,12,0.78
767,long-running,16,11,0.71
768,binary,16,9,0.58
769,driver,16,6,0.39
770,max,16,16,1.04
771,optional,16,14,0.91
772,mount,16,7,0.45
773,fragment,16,5,0.32
774,lookup,16,11,0.71
775,respect,16,13,0.84
776,comparison,16,8,0.52
777,diagnostic,16,8,0.52
778,output,16,11,0.71
779,close,16,13,0.84
780,previously,16,15,0.97
781,line,16,16,1.04
782,resourcemanager,16,14,0.91
783,problematic,16,12,0.78
784,among,16,14,0.91
785,fine,16,15,0.97
786,volume,16,10,0.65
787,stateless,16,10,0.65
788,focus,16,16,1.04
789,hence,16,15,0.97
790,trust,16,11,0.71
791,refactoring,16,12,0.78
792,couple,16,16,1.04
793,manner,16,15,0.97
794,drive,16,11,0.71
795,signal,16,11,0.71
796,proper,16,14,0.91
797,fairness,16,12,0.78
798,rout,16,12,0.78
799,leave,16,16,1.04
800,push,16,12,0.78
801,notion,16,16,1.04
802,leveldb,16,9,0.58
803,gb,16,8,0.52
804,yarn-1051,16,15,0.97
805,enforcement,16,7,0.45
806,figure,15,14,0.91
807,string,15,13,0.84
808,often,15,13,0.84
809,scope,15,12,0.78
810,nodes,15,14,0.91
811,decouple,15,12,0.78
812,vendor,15,9,0.58
813,fact,15,15,0.97
814,fifo,15,14,0.91
815,convert,15,13,0.84
816,ignore,15,11,0.71
817,restrict,15,12,0.78
818,efficient,15,14,0.91
819,together,15,15,0.97
820,best,15,11,0.71
821,basis,15,10,0.65
822,simulate,15,8,0.52
823,sl,15,11,0.71
824,belong,15,11,0.71
825,really,15,14,0.91
826,decrease,15,12,0.78
827,issuelink,15,13,0.84
828,basically,15,14,0.91
829,busy,15,9,0.58
830,availability,15,13,0.84
831,backend,15,12,0.78
832,special,15,12,0.78
833,schema,15,10,0.65
834,virtual,15,7,0.45
835,us,15,15,0.97
836,calculate,15,10,0.65
837,preference,15,10,0.65
838,generalize,15,14,0.91
839,care,15,14,0.91
840,registration,15,9,0.58
841,deal,15,13,0.84
842,optimize,15,13,0.84
843,sequence,15,8,0.52
844,apache,15,7,0.45
845,fairscheduler,15,13,0.84
846,public,15,10,0.65
847,tell,15,13,0.84
848,pas,14,14,0.91
849,centralize,14,8,0.52
850,organization,14,7,0.45
851,empty,14,10,0.65
852,helpful,14,13,0.84
853,hierarchical,14,11,0.71
854,scalability,14,11,0.71
855,idle,14,11,0.71
856,correct,14,13,0.84
857,bundle,14,7,0.45
858,startup,14,11,0.71
859,offline,14,11,0.71
860,zookeeper,14,9,0.58
861,notify,14,13,0.84
862,inlinecodesample,14,11,0.71
863,development,14,13,0.84
864,force,14,13,0.84
865,loop,14,12,0.78
866,cloud,14,9,0.58
867,sync,14,10,0.65
868,quickly,14,14,0.91
869,download,14,13,0.84
870,pull,14,9,0.58
871,csi,14,5,0.32
872,mention,14,13,0.84
873,uis,14,8,0.52
874,faster,14,10,0.65
875,description,14,13,0.84
876,split,14,11,0.71
877,metadata,14,5,0.32
878,immediately,14,12,0.78
879,starve,14,12,0.78
880,assignment,14,7,0.45
881,ams,14,13,0.84
882,am-rm,14,12,0.78
883,recur,14,7,0.45
884,secret,14,6,0.39
885,physical,13,6,0.39
886,experience,13,10,0.65
887,rely,13,12,0.78
888,outstanding,13,10,0.65
889,vulnerability,13,9,0.58
890,temporary,13,9,0.58
891,whose,13,10,0.65
892,evaluate,13,11,0.71
893,standalone,13,8,0.52
894,terminate,13,8,0.52
895,added,13,13,0.84
896,migration,13,9,0.58
897,effective,13,10,0.65
898,extension,13,12,0.78
899,refresh,13,8,0.52
900,specifically,13,12,0.78
901,cs,13,13,0.84
902,kerberos,13,11,0.71
903,intend,13,12,0.78
904,collection,13,8,0.52
905,forward,13,12,0.78
906,responsible,13,12,0.78
907,minute,13,10,0.65
908,search,13,11,0.71
909,represent,13,11,0.71
910,yet,13,13,0.84
911,robust,13,10,0.65
912,speed,13,10,0.65
913,soon,13,13,0.84
914,supply,13,11,0.71
915,nn,13,5,0.32
916,unless,13,11,0.71
917,far,13,13,0.84
918,trunk,13,12,0.78
919,io,13,8,0.52
920,simulation,13,6,0.39
921,standard,13,9,0.58
922,fast,13,11,0.71
923,standby,13,9,0.58
924,buffer,13,7,0.45
925,great,13,9,0.58
926,modification,13,10,0.65
927,tokens,13,10,0.65
928,resize,13,9,0.58
929,communicate,13,13,0.84
930,route,13,12,0.78
931,allows,13,13,0.84
932,principal,13,6,0.39
933,membership,13,6,0.39
934,federate,13,11,0.71
935,newly,13,9,0.58
936,graceful,13,9,0.58
937,redirect,13,11,0.71
938,namenode,13,7,0.45
939,expensive,13,12,0.78
940,lce,13,7,0.45
941,traffic,13,9,0.58
942,beyond,13,10,0.65
943,windows,13,8,0.52
944,live,13,10,0.65
945,rate,13,10,0.65
946,shut,13,12,0.78
947,flexibility,12,12,0.78
948,advantage,12,12,0.78
949,suggest,12,12,0.78
950,null,12,10,0.65
951,operate,12,11,0.71
952,template,12,5,0.32
953,equivalent,12,11,0.71
954,imageattachment,12,7,0.45
955,reload,12,8,0.52
956,possibly,12,11,0.71
957,vcores,12,11,0.71
958,accomplish,12,12,0.78
959,capacityscheduler,12,12,0.78
960,huge,12,12,0.78
961,eventually,12,11,0.71
962,initialize,12,8,0.52
963,software,12,8,0.52
964,fine-grained,12,9,0.58
965,day,12,10,0.65
966,frequently,12,10,0.65
967,transfer,12,10,0.65
968,maybe,12,11,0.71
969,deep,12,9,0.58
970,namespace,12,6,0.39
971,ifile,12,2,0.13
972,append,12,8,0.52
973,factor,12,10,0.65
974,bandwidth,12,7,0.45
975,life,12,11,0.71
976,localizer,12,4,0.26
977,join,12,8,0.52
978,distinguish,12,10,0.65
979,infrastructure,12,10,0.65
980,webapp,12,8,0.52
981,removal,12,7,0.45
982,helper,12,8,0.52
983,and/or,12,12,0.78
984,oom,12,10,0.65
985,unmanaged,12,6,0.39
986,review,12,11,0.71
987,summary,12,9,0.58
988,stateful,12,6,0.39
989,yarn-3926,12,10,0.65
990,whenever,12,11,0.71
991,additionally,12,11,0.71
992,header,12,9,0.58
993,incompatible,12,5,0.32
994,owner,12,6,0.39
995,ahs,12,7,0.45
996,appear,12,11,0.71
997,mapper,12,7,0.45
998,transparently,12,12,0.78
999,scan,12,10,0.65
1000,browser,12,11,0.71
1001,retries,12,10,0.65
1002,admins,12,9,0.58
1003,hit,12,8,0.52
1004,piece,12,10,0.65
1005,agent,12,8,0.52
1006,ssd,12,3,0.19
1007,forever,12,11,0.71
1008,kick,12,6,0.39
1009,utilize,11,11,0.71
1010,length,11,6,0.39
1011,random,11,9,0.58
1012,encapsulate,11,10,0.65
1013,question,11,8,0.52
1014,thought,11,11,0.71
1015,diagnostics,11,9,0.58
1016,periodically,11,11,0.71
1017,unify,11,11,0.71
1018,bug,11,9,0.58
1019,behind,11,10,0.65
1020,feedback,11,8,0.52
1021,false,11,10,0.65
1022,kind,11,11,0.71
1023,cap,11,9,0.58
1024,usability,11,9,0.58
1025,form,11,11,0.71
1026,batch,11,7,0.45
1027,globally,11,8,0.52
1028,configured,11,10,0.65
1029,section,11,8,0.52
1030,thousand,11,11,0.71
1031,recently,11,11,0.71
1032,monitoring,11,10,0.65
1033,architecture,11,6,0.39
1034,desire,11,8,0.52
1035,develop,11,10,0.65
1036,submits,11,9,0.58
1037,efficiently,11,11,0.71
1038,private,11,7,0.45
1039,argument,11,6,0.39
1040,row,11,6,0.39
1041,stream,11,10,0.65
1042,compatibility,11,9,0.58
1043,interaction,11,9,0.58
1044,real-world,11,4,0.26
1045,methodorvariablename-allocation-mb,11,3,0.19
1046,strategy,11,9,0.58
1047,completely,11,9,0.58
1048,parallel,11,10,0.65
1049,hour,11,10,0.65
1050,sub,11,6,0.39
1051,retention,11,5,0.32
1052,successfully,11,9,0.58
1053,authorization,11,6,0.39
1054,fully,11,10,0.65
1055,offer,11,9,0.58
1056,optionally,11,9,0.58
