rank,token,total_count,document_frequency,percent_documents,candidate_class,decision,source,reason
274,assign,59,39,2.52,,review,high_frequency,High-frequency token without exact ontology match
275,decommission,58,16,1.04,,review,high_frequency,High-frequency token without exact ontology match
276,wait,58,44,2.85,,review,high_frequency,High-frequency token without exact ontology match
277,ie,58,47,3.04,,review,high_frequency,High-frequency token without exact ontology match
278,stop,58,35,2.27,,review,high_frequency,High-frequency token without exact ontology match
279,table,58,28,1.81,Component,review,ontology_exact_match,Exact match in ontology sheet
280,fix,57,44,2.85,,review,high_frequency,High-frequency token without exact ontology match
281,result,57,43,2.78,Connector_Data,review,ontology_exact_match,Exact match in ontology sheet
282,githublink,57,18,1.17,Marker,remove,rust_marker,Rust cleaner marker token; review for removal before LDA
283,network,57,35,2.27,Requirement,review,ontology_exact_match,Exact match in ontology sheet
284,cli,56,35,2.27,,review,high_frequency,High-frequency token without exact ontology match
285,endpoint,56,29,1.88,Component|Pattern,review,ontology_exact_match,Exact match in ontology sheet
286,another,56,49,3.17,,review,high_frequency,High-frequency token without exact ontology match
287,weblink,55,43,2.78,Marker,remove,rust_marker,Rust cleaner marker token; review for removal before LDA
288,device,55,21,1.36,Component,review,ontology_exact_match,Exact match in ontology sheet
289,parameter,55,34,2.2,,review,high_frequency,High-frequency token without exact ontology match
290,group,55,29,1.88,,review,high_frequency,High-frequency token without exact ontology match
291,environment,54,41,2.65,,review,high_frequency,High-frequency token without exact ontology match
292,mean,54,43,2.78,,review,high_frequency,High-frequency token without exact ontology match
293,object,54,38,2.46,Connector_Data,review,ontology_exact_match,Exact match in ontology sheet
294,delay,54,27,1.75,,review,high_frequency,High-frequency token without exact ontology match
295,simple,53,42,2.72,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
296,discussion,53,49,3.17,,review,high_frequency,High-frequency token without exact ontology match
297,either,53,50,3.24,,review,high_frequency,High-frequency token without exact ontology match
298,pluggable,53,37,2.39,,review,high_frequency,High-frequency token without exact ontology match
299,reduce,53,47,3.04,,review,high_frequency,High-frequency token without exact ontology match
300,certain,52,41,2.65,,review,high_frequency,High-frequency token without exact ontology match
307,execute,52,35,2.27,Connector,review,ontology_exact_match,Exact match in ontology sheet
310,connection,51,26,1.68,Connector,review,ontology_exact_match,Exact match in ontology sheet
312,userprofilelink,51,24,1.55,Marker,remove,rust_marker,Rust cleaner marker token; review for removal before LDA
316,controller,51,12,0.78,Pattern,review,ontology_exact_match,Exact match in ontology sheet
319,context,49,36,2.33,Component,review,ontology_exact_match,Exact match in ontology sheet
324,field,48,28,1.81,Component,review,ontology_exact_match,Exact match in ontology sheet
327,layer,48,36,2.33,Pattern,review,ontology_exact_match,Exact match in ontology sheet
332,rpc,46,34,2.2,Pattern|Technology,review,ontology_exact_match,Exact match in ontology sheet
334,format,46,24,1.55,Technology,review,ontology_exact_match,Exact match in ontology sheet
343,monitor,44,30,1.94,Pattern,review,ontology_exact_match,Exact match in ontology sheet
344,page,44,23,1.49,Component,review,ontology_exact_match,Exact match in ontology sheet
349,execution,44,36,2.33,Connector,review,ontology_exact_match,Exact match in ontology sheet
353,java,43,25,1.62,Technology,review,ontology_exact_match,Exact match in ontology sheet
363,receive,42,27,1.75,Connector,review,ontology_exact_match,Exact match in ontology sheet
366,machine,42,34,2.2,Component,review,ontology_exact_match,Exact match in ontology sheet
378,module,41,25,1.62,Component,review,ontology_exact_match,Exact match in ontology sheet
390,model,39,28,1.81,Component,review,ontology_exact_match,Exact match in ontology sheet
403,secure,38,27,1.75,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
411,record,37,17,1.1,Component,review,ontology_exact_match,Exact match in ontology sheet
414,depend,36,34,2.2,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
416,view,36,27,1.75,Pattern,review,ontology_exact_match,Exact match in ontology sheet
417,tool,36,26,1.68,Technology,review,ontology_exact_match,Exact match in ontology sheet
419,message,36,23,1.49,Connector_Data,review,ontology_exact_match,Exact match in ontology sheet
434,async,34,22,1.42,Pattern,review,ontology_exact_match,Exact match in ontology sheet
439,spark,34,22,1.42,Technology,review,ontology_exact_match,Exact match in ontology sheet
440,deploy,34,18,1.17,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
446,function,33,26,1.68,Component,review,ontology_exact_match,Exact match in ontology sheet
453,structure,32,24,1.55,Connector_Data,review,ontology_exact_match,Exact match in ontology sheet
456,native,32,25,1.62,Requirement,review,ontology_exact_match,Exact match in ontology sheet
462,trigger,31,25,1.62,Connector,review,ontology_exact_match,Exact match in ontology sheet
464,communication,31,22,1.42,Connector,review,ontology_exact_match,Exact match in ontology sheet
466,scale,31,19,1.23,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
473,accept,30,23,1.49,Connector,review,ontology_exact_match,Exact match in ontology sheet
478,http,30,16,1.04,Technology,review,ontology_exact_match,Exact match in ontology sheet
511,integrate,28,25,1.62,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
516,library,28,21,1.36,Technology,review,ontology_exact_match,Exact match in ontology sheet
518,source,27,22,1.42,Component,review,ontology_exact_match,Exact match in ontology sheet
524,partition,27,8,0.52,Component,review,ontology_exact_match,Exact match in ontology sheet
525,flexible,27,23,1.49,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
534,provider,26,14,0.91,Technology,review,ontology_exact_match,Exact match in ontology sheet
555,parse,25,18,1.17,Requirement,review,ontology_exact_match,Exact match in ontology sheet
566,platform,25,13,0.84,Component|Technology,review,ontology_exact_match,Exact match in ontology sheet
573,session,25,8,0.52,Component,review,ontology_exact_match,Exact match in ontology sheet
577,dispatcher,24,12,0.78,Pattern,review,ontology_exact_match,Exact match in ontology sheet
600,noformatblock,23,10,0.65,Marker,remove,rust_marker,Rust cleaner marker token; review for removal before LDA
610,reuse,23,17,1.1,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
612,configurable,22,17,1.1,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
616,authentication,22,15,0.97,Pattern,review,ontology_exact_match,Exact match in ontology sheet
639,worker,21,8,0.52,Component,review,ontology_exact_match,Exact match in ontology sheet
641,collect,21,15,0.97,Connector,review,ontology_exact_match,Exact match in ontology sheet
647,throughput,21,16,1.04,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
648,consume,21,19,1.23,Connector,review,ontology_exact_match,Exact match in ontology sheet
657,retrieve,21,15,0.97,Connector,review,ontology_exact_match,Exact match in ontology sheet
676,upload,20,15,0.97,Connector,review,ontology_exact_match,Exact match in ontology sheet
702,database,19,9,0.58,Component|Technology,review,ontology_exact_match,Exact match in ontology sheet
703,connect,19,16,1.04,Connector,review,ontology_exact_match,Exact match in ontology sheet
704,package,19,14,0.91,Marker,remove,rust_marker,Rust cleaner marker token; review for removal before LDA
712,handler,18,10,0.65,Pattern,review,ontology_exact_match,Exact match in ontology sheet
713,json,18,13,0.84,Technology,review,ontology_exact_match,Exact match in ontology sheet
714,mb,18,9,0.58,Connector_Data,review,ontology_exact_match,Exact match in ontology sheet
716,save,18,18,1.17,Connector,review,ontology_exact_match,Exact match in ontology sheet
728,link,18,10,0.65,Connector,review,ontology_exact_match,Exact match in ontology sheet
734,latency,18,15,0.97,Quality_Attribute,review,ontology_exact_match,Exact match in ontology sheet
740,listener,18,5,0.32,Component,review,ontology_exact_match,Exact match in ontology sheet
741,interceptor,18,12,0.78,Pattern,review,ontology_exact_match,Exact match in ontology sheet
